id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
AK-001,AK,gdlLicensing,"What is the minimum age to apply for an instruction permit in Alaska?","14 years old","15 years old","16 years old","17 years old",0,A
AK-002,AK,gdlLicensing,"How long must you hold an instruction permit before applying for a provisional license in Alaska?","3 months","6 months","9 months","12 months",1,B
AK-003,AK,gdlLicensing,"How many total hours of driving experience are required before getting a provisional license in Alaska?","20 hours","30 hours","40 hours","50 hours",2,C
AK-004,AK,gdlLicensing,"How many hours of the required driving practice must be in challenging conditions like inclement weather or nighttime?","5 hours","8 hours","12 hours","10 hours",3,D
AK-005,AK,gdlLicensing,"What is the minimum age of a supervising adult when practicing with an instruction permit in Alaska?","21 years old","18 years old","25 years old","23 years old",0,A
AK-006,AK,gdlLicensing,"During what hours can a provisional license holder not drive unless accompanied by someone 21 or older?","Midnight to 6 AM","1 AM to 5 AM","2 AM to 6 AM","11 PM to 5 AM",1,B
AK-007,AK,gdlLicensing,"Who may a provisional license holder carry as passengers under age 21?","Close friends only","Family members only","Siblings only","No one",2,C
AK-008,AK,gdlLicensing,"At what age can you obtain a full unrestricted driver's license in Alaska?","16 years old","17 years old","19 years old","18 years old",3,D
AK-009,AK,gdlLicensing,"How long must you hold a provisional license before upgrading to a full license if under 18?","6 months","3 months","9 months","12 months",0,A
AK-010,AK,gdlLicensing,"What happens if a provisional license holder is convicted of a traffic violation?","Permanent license revocation","Six more months wait time","Must retake written test","No consequences apply",1,B
AK-011,AK,gdlLicensing,"How long is an Alaska instruction permit valid?","1 year","18 months","2 years","3 years",2,C
AK-012,AK,gdlLicensing,"What type of special license can rural Alaska residents age 16 get without a road skills test?","Farm license","Restricted license","Conditional license","Off-Highway license",3,D
AK-013,AK,cellPhone,"When is texting while driving illegal in Alaska?","While vehicle is moving","At all times on roads","Only on state highways","Only in school zones",0,A
AK-014,AK,cellPhone,"What type of cell phone use is permitted while driving in Alaska?","All handheld device use","Voice and hands-free only","Texting at stoplights","No phone use permitted",1,B
AK-015,AK,cellPhone,"What is prohibited regarding screen devices while driving in Alaska?","Using GPS navigation system","Any electronics in the car","Screens visible to driver","Listening to audio devices",2,C
AK-016,AK,cellPhone,"Is it legal to text at a red light in Alaska?","No, never permitted","Yes, in school zones only","No, if other traffic present","Yes, vehicle not in motion",3,D
AK-017,AK,cellPhone,"What information can be displayed on your phone while driving in Alaska?","Caller ID only","Text message content","Social media feeds","Email notifications",0,A
AK-018,AK,cellPhone,"What classification is a distracted driving violation that results in another person's death?","Misdemeanor","Class A felony","Traffic infraction","Civil violation",1,B
AK-019,AK,duiStateLaws,"What is the standard blood alcohol concentration limit for adult drivers in Alaska?","0.05%","0.10%","0.08%","0.06%",2,C
AK-020,AK,duiStateLaws,"What BAC level results in aggravated DUI charges in Alaska?","0.10% or higher","0.12% or higher","0.20% or higher","0.15% or higher",3,D
AK-021,AK,duiStateLaws,"What does Alaska's implied consent law mean for drivers?","Driving = consent to testing","You may refuse tests freely","Must carry a consent form","Only commercial drivers consent",0,A
AK-022,AK,duiStateLaws,"What happens if you refuse a chemical test in Alaska?","You receive a warning only","Penalties equal to DUI","You must pay a small fine","No consequences result",1,B
AK-023,AK,duiStateLaws,"What is the BAC limit for commercial drivers in Alaska?","0.02%","0.06%","0.04%","0.08%",2,C
AK-024,AK,duiStateLaws,"What is Alaska's policy for drivers under 21 regarding alcohol?","0.02% BAC limit","0.04% BAC limit","Same limit as adults","Zero tolerance",3,D
AK-025,AK,duiStateLaws,"How long is the license suspension for a first DUI conviction in Alaska?","90 days","6 months","1 year","2 years",0,A
AK-026,AK,duiStateLaws,"How long is an ignition interlock device required after a first DUI conviction in Alaska?","6 months","12 months","18 months","24 months",1,B
AK-027,AK,insurance,"What does liability insurance cover in Alaska?","Your own vehicle damage","Only your medical bills","Others' costs you cause","All damages any fault",2,C
AK-028,AK,insurance,"What does the third number in Alaska's liability coverage requirement represent?","Medical payments per accident","Total bodily injury per accident","Personal injury protection","Property damage per accident",3,D
AK-029,AK,insurance,"In what format can proof of insurance be presented in Alaska?","Paper or digital","Paper documents only","Digital format only","Video recording only",0,A
AK-030,AK,insurance,"What happens if you cannot provide proof of insurance in Anchorage?","You receive a warning","Vehicle may be impounded","Must arrange other ride","No consequences result",1,B
AK-031,AK,stateUnique,"When are studded tires prohibited in most of Alaska south of 60 degrees North?","October through March","November through April","April 15 to September 30","May through August only",2,C
AK-032,AK,stateUnique,"When must you turn on your headlights due to reduced visibility in Alaska?","When visibility is less than 500 feet","When visibility is less than 2000 feet","When visibility is less than 1500 feet","When visibility is less than 1000 feet",3,D
AK-033,AK,stateUnique,"What should you do immediately after your vehicle strikes a moose in Alaska?","Pull over and call police","Approach moose to check it","Leave the scene quickly","Take photos immediately",0,A
AK-034,AK,stateUnique,"When are moose-vehicle collisions most likely to occur?","During midday hours","Dusk, dawn, and night","Only in winter months","Afternoon rush hours",1,B
AK-035,AK,stateUnique,"What happens if you hold up five or more vehicles without pulling over in Alaska?","You get a courtesy reminder","Nothing happens","You are breaking the law","You receive a warning only",2,C
AK-036,AK,stateUnique,"When must headlights be turned on in Alaska in relation to sunset and sunrise?","Exactly sunset to sunrise","1 hour after/before","15 minutes after/before","30 minutes after/before",3,D
AK-037,AK,stateUnique,"What type of headlights should you use when possible to spot wildlife at night in Alaska?","High beams","Low beams","Fog lights","Parking lights",0,A
AK-038,AK,stateUnique,"Why should you avoid approaching a moose after a collision?","It is against the law","Wounded moose are dangerous","Police will issue a fine","You may damage evidence",1,B
AK-039,AK,stateUnique,"What is special about certain Alaska roads like the Seward Highway regarding headlights?","Headlights prohibited here","Only high beams allowed","Headlights on at all times","Only needed after dark",2,C
AK-040,AK,stateUnique,"What must studded or non-studded winter tires be in Alaska?","Imported from Canada","Less than two years old","Brand new from dealer","Approved by state DPS",3,D
AL-001,AL,gdlLicensing,"At what minimum age can you apply for a Stage I learner's permit in Alabama?","15 years old","16 years old","14 years old","17 years old",0,A
AL-002,AL,gdlLicensing,"Who can supervise a Stage I learner's permit holder in Alabama?","Any licensed driver over 18","Parent, guardian, or driver 21+","Any family member licensed","Certified driving instructors",1,B
AL-003,AL,gdlLicensing,"How long must you hold a Stage I permit before applying for a Stage II license in Alabama?","3 months minimum","1 year minimum","6 months minimum","9 months minimum",2,C
AL-004,AL,gdlLicensing,"What is the midnight to 6 AM curfew exception for Stage II license holders in Alabama?","School sports events only","Recreational activities only","Emergency situations only","Work, school, or parent",3,D
AL-005,AL,gdlLicensing,"What happens if a Stage II license holder violates GDL restrictions in Alabama?","Extended 6 months or to 18","License permanently revoked","Must restart from Stage I","Criminal record is created",0,A
AL-006,AL,gdlLicensing,"How many non-family passengers can a 16-year-old Stage II driver have in Alabama?","Two passengers maximum","One non-family passenger","Three passengers maximum","No passengers allowed",1,B
AL-007,AL,gdlLicensing,"At what age can you skip the restricted license and go straight to full privileges in Alabama?","17 years old","19 years old","18 years old","21 years old",2,C
AL-008,AL,gdlLicensing,"What driving practice is required to progress from Stage I to Stage II in Alabama?","30 hours of practice","Only a road test required","100 hours of practice","50 hours or driver ed",3,D
AL-009,AL,gdlLicensing,"When can a Stage II driver obtain an unrestricted license in Alabama?","Age 17, 6 months clean","Immediately at age 18","Age 16 with driver ed","Age 19 regardless",0,A
AL-010,AL,gdlLicensing,"What documentation is required for drivers under 19 applying for a permit in Alabama?","Birth certificate only","School enrollment proof","Employment verification","Parental consent only",1,B
AL-011,AL,gdlLicensing,"What restriction applies to Stage I permit holders regarding front seat supervision in Alabama?","Supervisor can be in back seat","No supervision needed during daytime","Supervisor must occupy front seat","Supervisor only needed on highways",2,C
AL-012,AL,gdlLicensing,"What is the consequence of GDL violations for license holders in Alabama?","Criminal penalties and court costs","License suspension for one year","Points added to driving record","No criminal penalties or points",3,D
AL-013,AL,cellPhone,"What does Alabama's Hands-Free Law prohibit while driving?","Holding or manually using phone","Only texting while driving","Only video recording while driving","Using Bluetooth devices",0,A
AL-014,AL,cellPhone,"Can you use voice-operated talk-to-text while driving in Alabama?","No, all phone use banned","Yes, voice texting allowed","Only with hands-free device","Only for emergencies",1,B
AL-015,AL,cellPhone,"How many button presses are allowed to initiate a call under Alabama's Hands-Free Law?","Up to three buttons","Two buttons maximum","Single button or swipe","No touching allowed",2,C
AL-016,AL,cellPhone,"What phone use is prohibited for drivers under 18 with a restricted license in Alabama?","Only handheld calls","Only texting","Only video recording","All mobile phone use",3,D
AL-017,AL,cellPhone,"When can you legally contact emergency services with a phone while driving in Alabama?","Anytime for emergencies","Only when fully stopped","Only with voice commands","Never while vehicle on",0,A
AL-018,AL,cellPhone,"What devices are permitted for phone conversations while driving in Alabama?","Handheld phones only","Bluetooth or speaker","No devices allowed","Wired headsets only",1,B
AL-019,AL,duiStateLaws,"What is the legal BAC limit for drivers under 21 in Alabama?","0.08%","0.04%","0.02%","Zero tolerance",2,C
AL-020,AL,duiStateLaws,"What is the BAC limit for commercial drivers in Alabama?","0.08%","0.02%","0.06%","0.04%",3,D
AL-021,AL,duiStateLaws,"What does implied consent mean for Alabama drivers?","Agree to BAC testing if stopped","Permission to search vehicle","Consent to field sobriety only","Waiver of legal representation",0,A
AL-022,AL,duiStateLaws,"What happens to minimum jail time if your BAC is 0.15 or higher in Alabama?","It stays the same","Minimum sentence doubles","Only fines increase","License suspension extends",1,B
AL-023,AL,duiStateLaws,"How long must you maintain SR-22 insurance after a DUI conviction in Alabama?","One year required","Two years required","Three years required","Five years required",2,C
AL-024,AL,duiStateLaws,"When does a fourth DUI become a felony in Alabama?","Within 10 years","At any time","Within 3 years","Within 5 years",3,D
AL-025,AL,duiStateLaws,"What is the consequence of refusing a BAC test for the first time in Alabama?","90-day suspension","Automatic DUI conviction","No penalty at all","One year jail time",0,A
AL-026,AL,duiStateLaws,"How many years of prior DUI convictions does Alabama count for sentencing purposes?","5 years","10 years","Lifetime","7 years",1,B
AL-027,AL,insurance,"What type of insurance system does Alabama follow for auto accidents?","No-fault system","Comparative negligence only","Fault-based system","Shared responsibility system",2,C
AL-028,AL,insurance,"What does liability insurance primarily cover in Alabama?","Your vehicle damage only","Your medical bills only","Rental car expenses only","Damages you cause others",3,D
AL-029,AL,insurance,"What coverage protects you if hit by an uninsured driver in Alabama?","Uninsured motorist","Comprehensive coverage","Collision coverage only","Personal injury protection",0,A
AL-030,AL,insurance,"What is the penalty classification for driving without insurance in Alabama?","Traffic infraction only","Class C misdemeanor","Felony offense","Civil violation only",1,B
AL-031,AL,stateUnique,"When must you turn on headlights while driving in Alabama?","Only at night time","During rain only","When wipers are on","Only in fog conditions",2,C
AL-032,AL,stateUnique,"What is required when passing a stopped emergency vehicle on a four-lane road in Alabama?","Honk your horn loudly","Stop completely first","Flash your headlights","Move over or slow down",3,D
AL-033,AL,stateUnique,"How far must you stay behind emergency vehicles in Alabama?","500 feet","200 feet","100 feet","1000 feet",0,A
AL-034,AL,stateUnique,"What is the seatbelt requirement for children under 15 in Alabama?","Front seat only","All positions in vehicle","Only on highways","Optional with parental consent",1,B
AL-035,AL,stateUnique,"What is the maximum handlebar height for motorcycles in Alabama?","12 inches above seat","No restriction","15 inches above seat","18 inches above seat",2,C
AL-036,AL,stateUnique,"Are helmets required for motorcycle riders in Alabama?","Only for riders under 21","Only on highways","Optional with insurance","Required for all riders",3,D
AL-037,AL,stateUnique,"When must you stop for a school bus with flashing lights in Alabama?","From any direction","Only if directly behind","Only on two-lane roads","Never if opposite side",0,A
AL-038,AL,stateUnique,"At what age is a bicycle helmet required in Alabama?","Under 18","Under 16","Under 12","All ages",1,B
AL-039,AL,stateUnique,"What right of way do pedestrians have in Alabama?","Only at crosswalks","Only with walk signals","Always, even illegally","Never in roadways",2,C
AL-040,AL,stateUnique,"When are right turns on red allowed in Alabama?","Never permitted here","Always without stopping","Only during daytime","After stop when safe",3,D
AR-001,AR,gdlLicensing,"At what minimum age can a teen obtain a learner's license in Arkansas?","14 years old","15 years old","16 years old","15 and a half years old",0,A
AR-002,AR,gdlLicensing,"How long must a teen hold a learner's license before applying for an intermediate license in Arkansas?","3 months","6 months","9 months","1 year",1,B
AR-003,AR,gdlLicensing,"During what hours are intermediate license holders prohibited from driving in Arkansas?","10 PM to 5 AM","Midnight to 6 AM","11 PM to 4 AM","9 PM to 5 AM",2,C
AR-004,AR,gdlLicensing,"What is the maximum number of unrelated minor passengers allowed with an intermediate license holder in Arkansas?","Three passengers","Two passengers","No passengers","One passenger",3,D
AR-005,AR,gdlLicensing,"Who must accompany a learner's license holder while driving in Arkansas?","Licensed driver age 21+","Licensed driver over age 18","Parent or guardian only","Any licensed adult driver",0,A
AR-006,AR,gdlLicensing,"At what age can a teen obtain an unrestricted driver's license in Arkansas?","17 years old","18 years old","19 years old","16 and a half years old",1,B
AR-007,AR,gdlLicensing,"When does a learner's license expire in Arkansas?","After 2 full years pass","When holder turns age 18","On holder's 16th birthday","After 18 full months pass",2,C
AR-008,AR,gdlLicensing,"What must teens under 18 provide proof of to obtain a license in Arkansas?","Current employment status","Vehicle ownership papers","Driver education completion","School attendance or diploma",3,D
AR-009,AR,gdlLicensing,"What happens if an intermediate license holder has a violation within 12 months of turning 18 in Arkansas?","Restrictions continue until 12 months violation-free","Citation issued but full license still granted","Must restart entire GDL program from beginning","License suspended for minimum of 6 months",0,A
AR-010,AR,gdlLicensing,"Can an intermediate license holder drive alone to work during restricted hours in Arkansas?","No, never during restricted hours","Yes, work is an approved exception","Only with written employer verification","Only on weekends",1,B
AR-011,AR,gdlLicensing,"What must parents or guardians agree to when a minor applies for a license in Arkansas?","Pay all traffic fines","Attend driving classes with the teen","Assume financial responsibility","Monitor all driving trips",2,C
AR-012,AR,gdlLicensing,"Can an intermediate license holder transport siblings who are minors in Arkansas?","No, siblings count toward passenger limit","Yes, but only one sibling is allowed","No minor passengers allowed at all","Yes, siblings exempt from restriction",3,D
AR-013,AR,cellPhone,"What is Arkansas's law prohibiting texting while driving commonly called?","Paul's Law","Safe Driving Act","Distracted Driving Law","Wireless Device Act",0,A
AR-014,AR,cellPhone,"Can drivers under 18 use hands-free devices while driving in Arkansas?","Yes, but only for navigation","No, all phone use is prohibited","Yes, hands-free is allowed","Only with parental permission",1,B
AR-015,AR,cellPhone,"How can drivers aged 21 and older legally talk on a phone in a school zone in Arkansas?","They cannot use phones in school zones","Only during non-school hours","By using hands-free technology","With a passenger in the vehicle",2,C
AR-016,AR,cellPhone,"What type of offense is texting while driving under Paul's Law in Arkansas?","Secondary offense needing other violation","Warning-only offense for first time","Civil infraction with fine only","Primary offense allowing traffic stops",3,D
AR-017,AR,cellPhone,"What phone activity is permitted for all Arkansas drivers while operating a vehicle?","Using GPS navigation apps","Reading text messages aloud","Posting to social media apps","Watching videos or movies",0,A
AR-018,AR,cellPhone,"When did Arkansas's ban on handheld phones in work zones take effect?","January 1, 2025","August 5, 2025","July 1, 2024","September 1, 2025",1,B
AR-019,AR,duiStateLaws,"What is the BAC limit for drivers under 21 in Arkansas?","0.00%","0.01%","0.02%","0.04%",2,C
AR-020,AR,duiStateLaws,"What is the BAC limit for commercial drivers in Arkansas?","0.08%","0.06%","0.02%","0.04%",3,D
AR-021,AR,duiStateLaws,"How long do DWI convictions remain relevant for counting prior offenses in Arkansas?","10 years","7 years","5 years","Lifetime",0,A
AR-022,AR,duiStateLaws,"When does a DWI become a felony in Arkansas?","Second offense within 10 years","Fourth offense or deaths occur","Third offense with high BAC level","Any offense with property damage",1,B
AR-023,AR,duiStateLaws,"How long is the license suspension for a first refusal to submit to a chemical test in Arkansas?","90 days","120 days","180 days","1 year",2,C
AR-024,AR,duiStateLaws,"What device is required for most Arkansas DWI convictions to regain driving privileges?","Ankle monitor tracking device","Dashboard camera system device","GPS tracker monitoring device","Ignition interlock device",3,D
AR-025,AR,duiStateLaws,"How does Arkansas treat DWI convictions on driving records?","They remain permanently","Removed after 10 years","Expunged after 15 years","Hidden after 7 years",0,A
AR-026,AR,duiStateLaws,"What is enhanced for drivers with a BAC of 0.15% or higher in Arkansas?","License suspension period only","Penalties including jail and fines","Community service hour requirement","Probation length and monitoring",1,B
AR-027,AR,insurance,"What does the first number in a liability insurance coverage format represent?","Property damage coverage","Total accident coverage","Bodily injury per person","Uninsured motorist coverage",2,C
AR-028,AR,insurance,"What type of coverage must Arkansas drivers carry in addition to liability insurance?","Collision coverage protection","Comprehensive coverage protection","Rental reimbursement coverage","Uninsured motorist coverage",3,D
AR-029,AR,insurance,"What form of proof of insurance is legally acceptable in Arkansas?","Physical or electronic proof","Only paper insurance cards","Only digital apps on phone","Verbal confirmation only",0,A
AR-030,AR,insurance,"What has Arkansas implemented in 2025 to help verify insurance coverage?","Monthly mailings to all drivers","Digital real-time verification","Annual in-person verification","Quarterly reporting requirements",1,B
AR-031,AR,stateUnique,"When must headlights be turned on according to Arkansas law?","At dusk and dawn periods only","Only during nighttime hours","When windshield wipers are on","During fog conditions only",2,C
AR-032,AR,stateUnique,"What happens to traffic fines in Arkansas work zones?","They remain the same","They increase by 50%","They are waived if corrected","They are doubled",3,D
AR-033,AR,stateUnique,"What color lights are authorized on Arkansas roadway construction vehicles as of 2025?","Green lights","Blue lights","Purple lights","White lights",0,A
