Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U1-001,general,What does a red octagonal sign mean?,Stop completely before proceeding,Yield to other traffic,Slow down and proceed with caution,Road closed ahead,A,0,"A red octagon is always a stop sign. You must come to a complete stop at the stop line, crosswalk, or before entering the intersection."
Universal,ALL,U1-002,general,A yellow diamond-shaped sign indicates:,A regulatory requirement you must follow,A warning about conditions or hazards ahead,Construction zone speed limits,Directions to a destination,B,1,"Yellow diamond-shaped signs are warning signs that alert drivers to potential hazards, road conditions, or changes ahead."
Universal,ALL,U1-003,general,What does a round yellow sign with a black X and the letters RR indicate?,Rest area ahead on the right,Road repair zone ahead,Railroad crossing ahead,Roundabout ahead,C,2,A round yellow sign with an X and RR warns of an upcoming railroad crossing. Be prepared to stop and look for trains.
Universal,ALL,U1-004,general,Orange-colored signs are used to indicate:,School zones and crossings,Recreational areas nearby,Regulatory speed limits,Construction and work zones,D,3,Orange signs indicate construction or work zones. These areas often have reduced speed limits and require extra caution.
Universal,ALL,U1-005,general,A white rectangular sign typically displays:,Regulatory information like speed limits,Warning about curves ahead,Distance to destinations,Temporary detour routes,A,0,"White rectangular signs display regulatory information such as speed limits, parking rules, and lane usage. These rules must be obeyed."
Universal,ALL,U1-006,general,What do green highway signs indicate?,Regulatory requirements,Guide information like directions and distances,Warning of hazards,Pedestrian crossing zones,B,1,"Green signs provide guide information including directions, distances, street names, and destinations to help drivers navigate."
Universal,ALL,U1-007,general,Blue highway signs typically show:,Speed regulations,Warning messages,"Motorist services like food, gas, and lodging",Construction zone information,C,2,"Blue signs indicate motorist services available near the highway, including gas stations, food, lodging, hospitals, and rest areas."
Universal,ALL,U1-008,general,Brown highway signs indicate:,Regulatory speed zones,Work zone warnings,Motorist services,Recreation and cultural points of interest,D,3,"Brown signs indicate recreational and cultural points of interest such as parks, historic sites, camping areas, and scenic routes."
Universal,ALL,U1-009,general,A pentagon-shaped (5-sided) sign indicates:,A school zone or school crossing,A yield situation,A no-passing zone,A county road marker,A,0,"Pentagon-shaped signs are used exclusively for school zones and school crossings, warning drivers of children in the area."
Universal,ALL,U1-010,general,What does a pennant-shaped yellow sign indicate?,School crossing ahead,No passing zone begins,Merge area ahead,Divided highway begins,B,1,A yellow pennant-shaped sign marks the beginning of a no-passing zone. It's placed on the left side of the road.
