questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
KY-022,duiStateLaws,KY,"What happens if you refuse a BAC test in Kentucky?","A written warning is issued with no immediate license consequences","License suspension and refusal may be used as evidence in court","A 30-day administrative suspension is applied while case is reviewed","Refusal is treated the same as passing the test with no penalty",B
MD-007,gdlLicensing,MD,"After 5 months how many passengers can Maryland provisional drivers carry?","No passenger limits apply after the initial 5 month restriction period","1 passenger under 18 in addition to immediate family members","A maximum of 2 passengers of any age may ride after 5 months","A maximum of 3 passengers of any age may ride after 5 months",B
MD-040,stateUnique,MD,"What should Maryland drivers know about speed cameras?","Speed cameras do not exist anywhere in the state of Maryland","Speed cameras are used in school zones and active work zones","Speed cameras are only used within the city of Baltimore","Speed cameras are only used on interstate highways statewide",B
MN-026,duiStateLaws,MN,"What makes Minnesota DWI laws unique?","Minnesota uses standard DWI laws similar to most other US states","Test refusal is a criminal offense not just an administrative one","Minnesota has more lenient DWI penalties than neighboring states","Minnesota has no administrative license suspension for DWI",B
NE-011,gdlLicensing,NE,"What happens if a Nebraska POP holder violates restrictions?","A written warning is issued with no impact on the permit","License suspension ranging from 2 weeks to 6 months","Points are added to the record but no suspension occurs","A fine is assessed but the permit period remains unchanged",B
NJ-017,cellPhone,NJ,"Does New Jersey add points for cell phone violations?","No points are added to driving record for any cell phone violation","Yes 3 points are added for third and subsequent offenses","3 points are always added regardless of whether it is first offense","Points are only added if the violation contributed to a crash",B
NJ-040,stateUnique,NJ,"What should New Jersey drivers know about circles and traffic circles?","Traffic circles function the same as rotaries in other states","Yield to traffic in the circle and follow posted directional signs","Traffic already in the circle must yield to entering vehicles","Always turn right immediately upon entering a traffic circle",B
NY-011,gdlLicensing,NY,"What happens if a New York junior driver commits a serious violation?","A written warning is issued with no impact on the junior license","60-day suspension for first offense then 6 months for second","Points are added to the record but no suspension occurs","A fine is assessed but the junior license period remains unchanged",B
ND-011,gdlLicensing,ND,"Can North Dakota issue hardship licenses?","No North Dakota does not issue hardship licenses under any circumstances","Yes for those 14 or older who can demonstrate a legitimate need","Hardship licenses are only available for farm work purposes","Hardship licenses are only available after the driver reaches age 15",B
TN-026,duiStateLaws,TN,"What is unique about Tennessee DUI penalties?","Tennessee uses standard DUI penalties similar to most other states","Vehicle forfeiture is possible for repeat DUI offenders","DUI offenses in Tennessee result in fines only with no jail","Tennessee does not impose any jail time for DUI offenses",B
TX-012,gdlLicensing,TX,"What is the Impact Texas Drivers program?","An optional safety course that qualifies for insurance discounts","Required video about distracted driving consequences before road test","A defensive driving course required for all new Texas drivers","An insurance discount program for drivers who complete training",B
TX-016,cellPhone,TX,"What are the penalties for texting while driving in Texas?","Violations result in a flat 25 dollar fine for all offenses","Up to 99 dollars for first offense and up to 200 subsequent","Violations result in a flat 50 dollar fine for all offenses","First offense results in a written warning with no fine",B
