Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U-001,roadSigns,What shape is a stop sign?,Octagon,Triangle,Circle,Diamond,A,0,Stop signs are always octagonal (8-sided) so they're recognizable even when faded or covered in snow.
Universal,ALL,U-002,roadSigns,What does a yellow diamond sign indicate?,Speed limit change,Warning ahead,Hospital nearby,No passing zone,B,1,Yellow diamond signs warn drivers of potential hazards or changes in road conditions ahead.
Universal,ALL,U-003,roadSigns,What color is a yield sign?,Yellow and black,Green and white,Red and white,Blue and white,C,2,Yield signs are red and white triangles pointing downward.
Universal,ALL,U-004,roadSigns,What does a circular sign with an X and RR indicate?,Rest area ahead,Road closed,No right turn,Railroad crossing,D,3,The circular yellow sign with X and RR warns of a railroad crossing ahead.
Universal,ALL,U-005,roadSigns,What shape indicates a school zone?,Pentagon,Rectangle,Triangle,Circle,A,0,School zone signs are five-sided (pentagon) shaped to be easily recognized.
Universal,ALL,U-006,roadSigns,What does a green sign typically indicate?,Warning,Guidance and direction,Regulation,Construction,B,1,Green signs provide guidance information such as directions distances and destinations.
Universal,ALL,U-007,roadSigns,What does a red circle with a line through it mean?,Stop here,Yield to traffic,Action is prohibited,One way only,C,2,A red circle with a diagonal line means the depicted action is not allowed.
Universal,ALL,U-008,roadSigns,What color are construction zone signs?,Yellow,Green,Blue,Orange,D,3,Orange signs indicate construction and maintenance warnings.
Universal,ALL,U-009,roadSigns,What does a flashing red light mean?,Stop completely,Slow down,Yield,Proceed with caution,A,0,A flashing red light is treated the same as a stop sign - you must stop completely.
Universal,ALL,U-010,roadSigns,What does a flashing yellow light mean?,Stop then proceed,Proceed with caution,Yield to all traffic,Signal is broken,B,1,A flashing yellow light means slow down and proceed with caution.
Universal,ALL,U-011,roadSigns,What does a white rectangular sign typically indicate?,Warning,Direction,Regulation,Construction,C,2,White rectangular signs display regulations such as speed limits and traffic laws.
Universal,ALL,U-012,roadSigns,What does a pennant-shaped sign indicate?,School zone,Yield ahead,Merge lane,No passing zone,D,3,The pennant shape is used exclusively for no passing zone warnings.
Universal,ALL,U-013,roadSigns,What does a blue sign typically indicate?,Motorist services,Warning,Regulation,School zone,A,0,Blue signs indicate services such as rest areas gas stations and hospitals.
Universal,ALL,U-014,roadSigns,What does a brown sign indicate?,Speed limit,Recreation areas,Services,Construction,B,1,Brown signs point to recreational and cultural interest areas like parks and historic sites.
Universal,ALL,U-015,roadSigns,What does an arrow curving left on a yellow sign mean?,Left turn only,No left turn,Curve ahead,Merge left,C,2,A curved arrow on a yellow sign warns of a curve in the indicated direction.
Universal,ALL,U-016,roadSigns,What does a sign with two arrows pointing opposite directions mean?,Divided highway,No passing,Keep right,Two-way traffic,D,3,This sign warns that two-way traffic is ahead on your roadway.
Universal,ALL,U-017,roadSigns,What does a sign showing merging lanes indicate?,Lane ends merge left,Traffic from right,Divided highway ends,Intersection ahead,A,0,This sign warns that your lane will end and you need to merge.
Universal,ALL,U-018,roadSigns,What does a deer silhouette on a yellow sign mean?,Deer hunting area,Animal crossing ahead,Wildlife refuge,Zoo nearby,B,1,Animal silhouette signs warn of wildlife crossing areas where animals may enter the roadway.
Universal,ALL,U-019,roadSigns,What does a double arrow sign mean?,Two-way traffic,Road curves both ways,Traffic may pass either side,Divided highway,C,2,A double arrow sign indicates traffic can pass on either side of an obstruction.
Universal,ALL,U-020,roadSigns,What does a slippery car silhouette sign mean?,Car wash ahead,Ice on road,Oil on road,Slippery when wet,D,3,This sign warns the road may be slippery especially when wet.
Universal,ALL,U-021,roadSigns,What does a sign with a truck on a hill indicate?,Steep grade ahead,Truck stop ahead,Truck route,No trucks allowed,A,0,This sign warns of a steep downgrade where vehicles may gain speed.
Universal,ALL,U-022,roadSigns,What does WRONG WAY mean on a red sign?,Road closed ahead,You're going against traffic,Detour required,Construction zone,B,1,WRONG WAY signs alert you that you've entered a one-way road going the wrong direction.
Universal,ALL,U-023,roadSigns,What does DO NOT ENTER mean?,Road closed permanently,Yield then enter,Entry is prohibited,Stop before entering,C,2,DO NOT ENTER signs prohibit entry typically at exit ramps or one-way streets.
Universal,ALL,U-024,roadSigns,What does a divided highway sign look like?,Single arrow up,Circle with line,Triangle pointing down,Two arrows separating,D,3,The divided highway sign shows two arrows separating around a barrier.
Universal,ALL,U-025,roadSigns,What does a sign with bumps indicate?,Rough road surface,Speed bump ahead,Uneven lanes,Dip in road,A,0,This sign warns of an uneven or rough road surface ahead.
Universal,ALL,U-026,roadSigns,What indicates a no U-turn zone?,Red circle with U,Arrow making U shape crossed out,Yellow diamond with U,White rectangle saying NO U,B,1,A U-turn arrow with a red circle and line through it means U-turns are prohibited.
Universal,ALL,U-027,roadSigns,What does a crosswalk sign look like?,White rectangle with lines,Blue square with person,Yellow diamond with person,Green circle with arrow,C,2,Crosswalk warning signs are yellow diamonds showing a pedestrian figure.
Universal,ALL,U-028,roadSigns,What does a bike route sign indicate?,Bikes only,Bikes prohibited,Bike rental ahead,Shared road with bikes,D,3,Bike route signs indicate cyclists share the roadway with vehicles.
Universal,ALL,U-029,roadSigns,What does a sign showing a T indicate?,T-intersection ahead,Turn around,No through traffic,Truck route,A,0,A T sign warns that the road ends ahead at a perpendicular intersection.
Universal,ALL,U-030,roadSigns,What does a yield sign require you to do?,Stop completely,Slow and give right-of-way,Merge immediately,Change lanes,B,1,Yield means slow down and be prepared to stop to give right-of-way to other traffic.
Universal,ALL,U-031,roadSigns,What does a speed limit sign indicate?,Suggested speed,Minimum speed,Maximum legal speed,Average traffic speed,C,2,Speed limit signs show the maximum legal speed under ideal conditions.
Universal,ALL,U-032,roadSigns,What does a minimum speed sign indicate?,Maximum allowed,Recommended speed,Average speed,Slowest legal speed,D,3,Minimum speed signs show the slowest you may legally drive usually on highways.
Universal,ALL,U-033,roadSigns,What does an advisory speed sign indicate?,Suggested safe speed,Legal limit,Minimum speed,Average speed,A,0,Advisory speed signs suggest a safe speed for curves or conditions but aren't legal limits.
Universal,ALL,U-034,roadSigns,What indicates a one-way street?,Do not enter sign,Arrow pointing one direction,White rectangle with arrow,Both B and C,D,3,One-way streets are marked by black arrows on white rectangles showing traffic direction.
Universal,ALL,U-035,roadSigns,What does a handicap parking sign require?,Valid disability permit,Wide vehicle only,Compact cars only,Employee parking,A,0,Handicap parking spaces require a valid disabled parking permit or plates.
Universal,ALL,U-036,roadSigns,What does HOV lane signage indicate?,Heavy vehicles only,High occupancy vehicles,Hospital vehicles,Hazardous materials,B,1,HOV lanes are for vehicles with multiple occupants to encourage carpooling.
